ID,valid,PMID,title,abstract,affiliation,year,link
61,,25184597,"Differences between attendance in emergency care of male and female victims of traffic accidents in Porto Alegre, Rio Grande do Sul state, Brazil.","Driving under the influence of alcohol/ drugs (DUI) is a well-established risk factor for traffic accidents, and men and women have different consumption patterns. The scope of this paper is to analyze differences in alcohol and drug consumption, as well as on behavior associated with traffic accidents among men and women. A cross-sectional study was conducted with 609 sequential traffic accident victims attended in emergency care from Porto Alegre. Subjects gave a structured interview, were breathalyzed and had a saliva test for alcohol/drug screening. Results showed that women were mainly passengers or pedestrians (p &lt; 0.001). There was no significant difference in positive blood alcohol concentration. However, men reported more binge drinking and THC use, while women had more benzodiazepine in their saliva (p&lt;0.05). This is the first Brazilian study to compare alcohol and drug use among men and women who were the victims of traffic accidents. Results point to differences in the pattern of substance abuse, as well on risk behavior. Data may be useful for specific prevention strategies that take gender differences into consideration.","Centro de Estudos Jose de Barros Falcão, Porto Alegre, RS, Brasil, raquelfsaldanha@gmail.com.",2014,S1413-81232014000903925
62,,25175313,Sensor-augmented pump and multiple daily injection therapy in the United States and Canada: post-hoc analysis of a randomized controlled trial.,"OBJECTIVE: Effectiveness of advanced technologies for diabetes management may differ depending on national healthcare models or population characteristics. In the setting of a cross-national trial, we aimed to compare efficacy of sensor-augmented pump (SAP) therapy in the United States (US) and Canada.METHODS: In the clinical trial Sensor-Augmented Pump Therapy for A1C Reduction (STAR 3), 329 adults with type 1 diabetes were randomly allocated to either SAP or glargine-based multiple daily injection (MDI) therapy at 26 US sites (n=271) and 4 Canadian sites (n=58). A bootstrap analysis was performed to confirm significant differences in baseline characteristics. For the primary analysis, we compared the baseline to 1-year change in glycated hemoglobin (A1C) between Canadian and US subjects.RESULTS: At baseline, compared with US subjects, Canadian subjects were more likely to be students (19% vs. 7%, p&lt;0.01) and to consume alcohol (91% vs. 63%, p&lt;0.01). Although Canadian subjects had greater A1C reductions from baseline compared with US subjects (p=0.02), the incremental benefit of SAP was similar in the US (SAP compared with MDI, -0.93%±0.73% vs. -0.31%±0.81%, p&lt;0.001) and Canada (-1.14%±0.72% vs. -0.67%±0.71%, p&lt;0.001). Mean sensor use was significantly higher in Canada than in the US (79% vs. 68% of the time, p&lt;0.001).CONCLUSIONS: Despite differences in baseline characteristics and sensor adherence, SAP efficacy was similar between US and Canadian participants. As long as the intervention is administered with a similar level of expertise as was conducted in the trial, it is likely to be applicable in diverse clinical practice settings.","Division of Endocrinology and Metabolism, Department of Medicine, University of Toronto, Toronto, Ontario, Canada. Electronic address: bperkins@mtsinai.on.ca.",2014,10.1016/j.jcjd.2014.03.003
63,,25096690,Screening and brief intervention for drug use in primary care: the ASPIRE randomized clinical trial.,"IMPORTANCE: The United States has invested substantially in screening and brief intervention for illicit drug use and prescription drug misuse, based in part on evidence of efficacy for unhealthy alcohol use. However, it is not a recommended universal preventive service in primary care because of lack of evidence of efficacy.OBJECTIVE: To test the efficacy of 2 brief counseling interventions for unhealthy drug use (any illicit drug use or prescription drug misuse)-a brief negotiated interview (BNI) and an adaptation of motivational interviewing (MOTIV)-compared with no brief intervention.DESIGN, SETTING, AND PARTICIPANTS: This 3-group randomized trial took place at an urban hospital-based primary care internal medicine practice; 528 adult primary care patients with drug use (Alcohol, Smoking, and Substance Involvement Screening Test [ASSIST] substance-specific scores of ≥4) were identified by screening between June 2009 and January 2012 in Boston, Massachusetts.INTERVENTIONS: Two interventions were tested: the BNI is a 10- to 15-minute structured interview conducted by health educators; the MOTIV is a 30- to 45-minute intervention based on motivational interviewing with a 20- to 30-minute booster conducted by master's-level counselors. All study participants received a written list of substance use disorder treatment and mutual help resources.MAIN OUTCOMES AND MEASURES: Primary outcome was number of days of use in the past 30 days of the self-identified main drug as determined by a validated calendar method at 6 months. Secondary outcomes included other self-reported measures of drug use, drug use according to hair testing, ASSIST scores (severity), drug use consequences, unsafe sex, mutual help meeting attendance, and health care utilization.RESULTS: At baseline, 63% of participants reported their main drug was marijuana, 19% cocaine, and 17% opioids. At 6 months, 98% completed follow-up. Mean adjusted number of days using the main drug at 6 months was 12 for no brief intervention vs 11 for the BNI group (incidence rate ratio [IRR], 0.97; 95% CI, 0.77-1.22) and 12 for the MOTIV group (IRR, 1.05; 95% CI, 0.84-1.32; P = .81 for both comparisons vs no brief intervention). There were also no significant effects of BNI or MOTIV on any other outcome or in analyses stratified by main drug or drug use severity.CONCLUSIONS AND RELEVANCE: Brief intervention did not have efficacy for decreasing unhealthy drug use in primary care patients identified by screening. These results do not support widespread implementation of illicit drug use and prescription drug misuse screening and brief intervention.TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00876941.","Department of Community Health Sciences, Boston University School of Public Health, Boston, Massachusetts2Clinical Addiction Research and Education (CARE) Unit, Section of General Internal Medicine, Department of Medicine, Boston Medical Center and Boston.",2014,10.1001/jama.2014.7862
64,,24975881,Environmental characteristics associated with alcohol intoxication among patrons in Brazilian nightclubs.,"INTRODUCTION: Few studies have investigated the association between environmental factors and patrons' binge drinking in nightclubs, and such studies are rare in developing countries.OBJECTIVE: To identify environmental factors associated with binge drinking among patrons in nightclubs in São Paulo, Brazil, using a mixed-methods design.METHOD: The study used a two-stage cluster sampling survey design. Two levels of data were collected: observational data and portal survey data. Individual-level data were collected by a portal survey of 2422 subjects at the entrance and 1822 subjects at the exit of 31 nightclubs. Weighted multilevel analysis was used to investigate the association between patrons' binge drinking (as measured by breath alcohol concentration ≥0.38 mg L(-1) ) at nightclub exit, with environmental-level variables collected through observation and controlled for individual-level data.RESULTS: Pre-drinking was the variable most strongly associated with binge drinking BrAC levels when exiting the venue [adjusted odds ratio (aOR) = 5.98, 95% confidence interval (CI) [4.37, 8.17], P &lt; 0.001). The environmental variables significantly associated with binge drinking were 'all you can drink' service (aOR = 2.44, 95% CI [1.03, 0.79]; P = 0.043), two or more dance floors (aOR = 1.92, 95% CI [1.16, 3.18]; P = 0.011), and higher sound levels (aOR = 1.04 per each decibel increased, 95% CI [1.01, 1.08]; P = 0.048). Data triangulation showed an association between lower alcohol intoxication and ketamine use in three LGBT nightclubs.DISCUSSION: Pre-drinking showed that individual-level characteristics could be more important in binge drinking than the venues' environmental characteristics. Previous studies failed to include pre-drinking in environmental analysis.CONCLUSION: Environmental control interventions, isolated from individual-level approaches, may have limited efficacy in the prevention of alcohol abuse in nightclubs.","Department of Preventive Medicine, Universidade Federal de São Paulo, São Paulo, Brazil.",2014,10.1111/dar.12155
65,,24962514,Evaluation of a symptom-triggered protocol approach to the management of alcohol withdrawal syndrome in older adults.,"OBJECTIVES: To evaluate whether implementation of symptom-triggered administration of a benzodiazepine protocol reduces the severity (total cumulative dose), duration, and complications of alcohol withdrawal syndrome (AWS).DESIGN: Retrospective health record review.SETTING: Tertiary care center in Vancouver, Canada.PARTICIPANTS: Individuals aged 70 and older admitted to the Acute Care for Elders and Acute Medicine Unit wards with diagnostic codes for AWS from 2008 to 2012.MEASUREMENTS: Median duration and cumulative dose of benzodiazepine treatment, number of severe AWS complications, severe benzodiazepine-associated adverse effects, and need for adjunct therapy.RESULTS: Thirty-three participants in the preprotocol group and 30 in the protocol-implemented group met the inclusion criteria. Median duration of benzodiazepine treatment decreased from 96 hours (interquartile range (IQR) 72-120 hours) in the preprotocol period to 48 hours (IQR 0-108 hours; P=.04), and median cumulative benzodiazepine dose administered decreased from 9 mg (IQR 5-19.8 mg) to 3 mg (IQR 0-10 mg; P=.001). Statistically significantly lower incidence of severe AWS complications (P=.007) and adjunct therapy use (P=.02) was seen in the protocol-implemented group.CONCLUSION: A symptom-triggered protocol for dosing of benzodiazepine therapy in the management of AWS in individuals aged 70 and older significantly reduced the total duration of benzodiazepine use, cumulative benzodiazepine dose, and use of adjunctive medications in the treatment of AWS.","Pharmaceutical Sciences, St. Paul's Hospital, Vancouver, British Columbia, Canada.",2014,10.1111/jgs.12932
66,,24953723,Viral suppression and adherence among HIV-infected children and adolescents on antiretroviral therapy: results of a multicenter study.,"OBJECTIVE: To evaluate treatment adherence among perinatally-infected pediatric human immunodeficiency virus (HIV) patients followed in pediatric centers in Brazil.METHODS: This was a cross-sectional multicenter study. Medical records were reviewed and adherence scale, assessment of caregivers' quality of life (WHOQOL-BREF), anxiety, depression, and alcohol/substances use/abuse were assessed. Outcomes included self-reported 100% adherence in the last three days and HIV viral load (VL)&lt;50 copies/mL. Statistical analyses included contingency tables and respective statistics, and multivariable logistic regression.RESULTS: 260 subjects were enrolled: 78% children and 22% adolescents; 93% of caregivers for the children and 77% of adolescents reported 100% adherence; 57% of children and 49% of adolescents had VL&lt;50 copies/mL. In the univariate analyses, HIV diagnosis for screening due to maternal infection, lower caregiver scores for anxiety, and higher scores in physical and psychological domains of WHOQOL-BREF were associated with 100% adherence. Shorter intervals between pharmacy visits were associated with VL&lt;50 copies/mL (p ≤ 0.01). Multivariable regression demonstrated that caregivers who did not abuse alcohol/other drugs (OR=0.49; 95% CI: 0.27-0.89) and median interval between pharmacy visits&lt;33 days (OR=0.97; 95% CI: 0.95-0.98) were independently associated with VL&lt;50 copies/mL; whereas lower caregiver scores for anxiety (OR=2.57; 95% CI: 1.27-5.19) and children's HIV diagnosis for screening due to maternal infection (OR=2.25; 95% CI: 1.12-4.50) were found to be independently associated with 100% adherence.CONCLUSIONS: Pediatric HIV programs should perform routine assessment of caregivers' quality of life, and anxiety and depression symptoms. In this setting, pharmacy records are essential to help identify less-than-optimal adherence.","Escola Nacional de Saúde Pública Sergio Arouca, Rio de Janeiro, RJ, Brazil; Hospital Federal dos Servidores do Estado, Rio de Janeiro, RJ, Brazil. Electronic address: mleticia@diphse.com.br.",2014,10.1016/j.jped.2014.04.007
67,,24932945,Hair drug testing results and self-reported drug use among primary care patients with moderate-risk illicit drug use.,"BACKGROUND: This study sought to examine the utility of hair testing as a research measure of drug use among individuals with moderate-risk drug use based on the internationally validated Alcohol, Smoking, and Substance Involvement Screening Test (ASSIST).METHODS: This study is a secondary analysis using baseline data from a randomized trial of brief intervention for drug misuse, in which 360 adults with moderate-risk drug use were recruited from two community clinics in New Mexico, USA. The current study compared self-reported drug use on the ASSIST with laboratory analysis of hair samples using a standard commercially available 5-panel test with assay screening and gas chromatography/mass spectrometry (GC/MS) confirmation. Both self-report and hair testing covered a 3-month period.RESULTS: Overall concordance between hair testing and self-report was 57.5% (marijuana), 86.5% (cocaine), 85.8% (amphetamines), and 74.3% (opioids). Specificity of hair testing at standard laboratory cut-offs exceeded 90% for all drugs, but sensitivity of hair testing relative to self-report was low, identifying only 52.3% (127/243) of self-disclosed marijuana users, 65.2% (30/46) of cocaine users, 24.2% (8/33) of amphetamine users, and 2.9% (2/68) of opioid users. Among participants who disclosed using marijuana or cocaine in the past 3 months, participants with a negative hair test tended to report lower-frequency use of those drugs (p&lt;.001 for marijuana and cocaine).CONCLUSIONS: Hair testing can be useful in studies with moderate-risk drug users, but the potential for under-identification of low-frequency use suggests that researchers should consider employing low detection cut-offs and using hair testing in conjunction with self-report.","Friends Research Institute, Inc., 1040 Park Avenue, Suite 103, Baltimore, MD 21201, USA. Electronic address: jgryczynski@friendsresearch.org.",2014,10.1016/j.drugalcdep.2014.05.001
68,,24911368,"Retreatment with varenicline for smoking cessation in smokers who have previously taken varenicline: a randomized, placebo-controlled trial.","The efficacy and safety of retreatment with varenicline in smokers attempting to quit were evaluated in this randomized, double-blind, placebo-controlled, multicenter trial (Australia, Belgium, Canada, the Czech Republic, France, Germany, the United Kingdom, and the United States). Participants were generally healthy adult smokers (≥ 10 cigarettes/day) with ≥ 1 prior quit attempt (≥ 2 weeks) using varenicline and no quit attempts in ≤ 3 months; they were randomly assigned (1:1) to 12 weeks' varenicline (n = 251) or placebo (n = 247) treatment, with individual counseling, plus 40 weeks' nontreatment follow-up. The primary efficacy end point was the carbon monoxide-confirmed (≤ 10 ppm) continuous abstinence rate for weeks 9-12, which was 45.0% (varenicline; n = 249) vs. 11.8% (placebo; n = 245; odds ratio: 7.08; 95% confidence interval: 4.34, 11.55; P &lt; 0.0001). Common varenicline group adverse events were nausea, abnormal dreams, and headache, with no reported suicidal behavior. Varenicline is efficacious and well tolerated in smokers who have previously taken it. Abstinence rates are comparable with rates reported for varenicline-naive smokers.","OHSU Smoking Cessation Center, Division of Pulmonary and Critical Care Medicine, Department of Medicine, Oregon Health &amp; Science University, Portland, Oregon, USA.",2014,10.1038/clpt.2014.124
69,,24885542,"A pragmatic, randomized, controlled study evaluating the impact of access to smoking cessation pharmacotherapy coverage on the proportion of successful quitters in a Canadian population of smokers motivated to quit (ACCESSATION).","BACKGROUND: Many smokers find the cost of smoking cessation medications a barrier. Financial coverage for these medications increases utilization of pharmacotherapies. This study assesses whether financial coverage increases the proportion of successful quitters.METHODS: A pragmatic, open-label, randomized, controlled trial was conducted in 58 Canadian sites between March 2009 and September 2010. Smokers (≥10 cigarettes/day) without insurance coverage who were motivated to quit within 14 days were randomized (1:1) in a blinded manner to receive either full coverage eligibility for 26 weeks or no coverage. Pharmacotherapies covered were varenicline, bupropion, or nicotine patches/gum. Investigators/subjects were unblinded to study group assignment after randomization and prior to choosing a smoking cessation method(s). All subjects received brief smoking cessation counseling. The primary outcome measure was self-reported 7-day point prevalence of abstinence (PPA) at week 26.RESULTS: Of the 1380 randomized subjects (coverage, 696; no coverage, 684), 682 (98.0%) and 435 (63.6%), respectively, were dispensed at least one smoking cessation medication dose. The 7-day PPA at week 26 was higher in the full coverage versus no coverage group: 20.8% (n = 145) and 13.9% (n = 95), respectively; odds ratio (OR) = 1.64, 95% confidence interval (CI) 1.23-2.18; p = 0.001. Urine cotinine-confirmed 7-day PPA at week 26 was 15.7% (n = 109) and 10.1% (n = 69), respectively; OR = 1.68, 95% CI 1.21-2.33; p = 0.002. After pharmacotherapy, coverage eligibility was withdrawn from the full coverage group, continuous abstinence between weeks 26 and 52 was 6.6% (n = 46) and 5.6% (n = 38), in the full coverage and no coverage groups, respectively; OR = 1.19, 95% CI 0.76-1.87; p = 0.439.CONCLUSIONS: In this study, the adoption of a smoking cessation medication coverage drug policy was an effective intervention to improve 26-week quit rates in Canada. The advantages were lost once coverage was discontinued. Further study is required on the duration of coverage to prevent relapse to smoking. (clinicaltrials.gov identifier: NCT00818207; the study was sponsored by Pfizer Inc.).","Addictions Division, Centre for Addiction and Mental Health, Toronto, Ontario, Canada. peter.selby@camh.ca.",2014,10.1186/1471-2458-14-433
70,,24816036,COPD screening in primary care in four Latin American countries: methodology of the PUMA Study.,"INTRODUCTION: The prevalence of COPD among patients treated in the healthcare system in Latin America is unknown. The PUMA study (Prevalencia y práctica habitUal -diagnóstico y tratamiento- en población de riesgo de EPOC en Médicos generalistas de 4 países de América Latina) screened at-risk patients attending primary care centers to evaluate the prevalence, diagnosis and treatment of COPD in this setting. The aim of this report is to describe the study methodology.METHODS: Multicenter, observational, cross-sectional study conducted in Argentina, Colombia, Uruguay and Venezuela. Subjects were≥40 years, smokers, former smokers and/or exposed to fossil fuels attending primary care centers. Eligible patients underwent pre- and post- bronchodilator spirometry and completed standardized questionnaires on demographics, smoking, exposure to environmental/domestic pollution, symptoms/history and management of respiratory diseases, comorbidities, and use of healthcare resources.RESULTS: A total of 57 centers in 4 countries participated; 1,907 patients were included, 1,743 completed the PUMA questionnaire and 1,540 patients underwent validated spirometry.CONCLUSIONS: We describe the methodology used in the PUMA study, the first systematic multicenter study in four Latin American countries aimed at detecting COPD cases confirmed by spirometry in primary care. Approximately 90% of patients who completed the PUMA questionnaire underwent valid spirometry tests. This gives room for reflection on the feasibility of opportunistic screening at the primary care level to detect patients in the early stages of COPD or with undiagnosed COPD, and improve the diagnosis and management of this disease.","Dirección, Hospital de Rehabilitación Respiratoria «María Ferrer», Buenos Aires, Argentina. Electronic address: eduardo.schiavi@gmail.com.",2014,10.1016/j.arbres.2014.03.006
71,,24779667,"Demographic, risk factors and motivations among blood donors with reactive serologic tests for syphilis in São Paulo, Brazil.","OBJECTIVE: To identify the demographic characteristics, risk factors and motivations for donating among blood donors with reactive serologic tests for syphilis.BACKGROUND: Post-donation interviews with syphilis seropositive blood donors improve recruitment and screening strategies.METHODS: This case-control study compares 75 Venereal Disease Research Laboratory (VDRL) &gt; 8, EIA+ (enzyme immunoassay) and FTA-ABS+ (fluorescent treponemal antibody); 80 VDRL-, EIA+ and FTA-ABS+; and 34 VDRL- and EIA- donors between 2004 and 2009. Donors were assessed by their demographic characteristics, sexual behaviour, history of alcohol and illicit drugs use, and motivations to donate.RESULTS: Donors with VDRL &gt; 8 were more likely to be divorced [AOR = 12·53; 95% confidence interval (CI) 1·30-120·81], to have had more than six sexual partners (AOR=7·1; 95% CI 1·12-44·62) and to report male-male-sex in the past 12 months (AOR=8·18; 95% CI 1·78-37·60). Donors with VDRL-, EIA+ and FTA-ABS+ were less likely to be female (AOR=0·26; 95% CI 0·07-0·96), more likely to be older (AOR=10·2; 95% CI 2·45-42·58 ≥ 39 and &lt;60 years old) and to have had more than six sexual partners in the past 12 months (AOR = 8·37; 95% CI 1·49-46·91). There was no significant difference among groups regarding illicit drugs use; 30·7% (VDRL &gt; 8) and 12·5% (VDRL-, EIA+ and FTA-ABS+) of donors reported that they had been at risk for HIV infection (P = 0·004). One-third of donors came to the blood bank to help a friend or a relative who needed blood.CONCLUSION: Although donors exposed to syphilis reported and recognised some high risk behaviour, most were motivated by direct appeal to donate blood. Monitoring the risk profile of blood donors can benefit public health and improve blood safety.","Infectious Diseases Division, Federal University of São Paulo; Department of Molecular Biology, Fundação Pró-Sangue Hemocentro de São Paulo.",2014,10.1111/tme.12124
72,,24770992,Clinical needs of in-treatment pregnant women with co-occurring disorders: implications for primary care.,"We investigated social vulnerability and behavioral health clinical profiles (symptom severity) of pregnant women with co-occurring disorders, defined as substance abuse, mental illness, and trauma at treatment entry compared to their nonpregnant counterparts and the role of interpersonal abuse in clinical presentation among pregnant women. Our objective was to provide primary health care providers with insight into the needs of pregnant patients with high behavioral health risks to serve them better during the critical window of opportunity for long-term impact. We conducted cross-sectional secondary analysis of baseline data from women enrolled in treatment programs in the Women, Co-occurring Disorders and Violence Study from nine sites across the United States. We used analysis of variance and Cochran-Mantel-Haenszel statistical analyses to compare means and frequencies of social vulnerability indicators and baseline Addiction Severity Index, Brief Symptom Inventory of mental health, and Posttraumatic Stress Diagnostic Scale scores between 152 pregnant and 2,577 nonpregnant women, and between pregnant women with and without current interpersonal abuse. Compared to nonpregnant women, pregnant women evidenced more social vulnerability but better behavioral health clinical profiles at treatment entry. Current interpersonal abuse was associated with increased mental health and trauma symptomatology but not with alcohol or drug abuse severity among pregnant women. The prenatal period is an important time for screening and intervention for factors such as social vulnerability and co-occurring disorders, known to affect pregnancy and infant outcomes; social and behavioral health services are particularly essential among pregnant women with co-occurring disorders.","School of Social Work, University of Southern California, 1150 South Olive Street, Los Angeles, CA, 90015, USA, leeking@usc.edu.",2014,10.1007/s10995-014-1508-x
73,,24766846,"A drug use survey among clients of harm reduction sites across British Columbia, Canada, 2012.","BACKGROUND: In British Columbia (BC), understanding of high-risk drug use trends is largely based on survey and cohort study data from two major cities, which may not be representative of persons who use drugs in other regions. Harm reduction stakeholders, representing each of the five geographic health regions in BC, identified a need for data on drug use to inform local and regional harm reduction activities across the province. The aims of this project were to (1) develop a drug use survey that could be feasibly administered at harm reduction (HR) sites across all health regions and (2) assess the data for differences in reported drug use frequencies by region.METHODS: A pilot survey focusing on current drug use was developed with stakeholders and administered among clients at 28 HR supply distribution sites across the province by existing staff and peers. Data were collated and analysed using univariate and bivariate descriptive statistics to assess differences in reported drug use frequencies by geography. A post-survey evaluation was conducted to assess acceptability and feasibility of the survey process for participating sites.RESULTS: Crack cocaine, heroin, and morphine were the most frequently reported drugs with notable regional differences. Polysubstance use was common among respondents (70%) with one region having 81% polysubstance use. Respondents surveyed in or near their region's major centre were more likely to report having used crack cocaine (p &lt; 0.0001) and heroin (p &lt; 0.0001) in the past week as compared to those residing &gt;50 km from the major centre. Participants accessing services &gt;50 km from the regional centre were more likely to have used morphine (p &lt; 0.0001). There was no difference in powder cocaine use by client/site proximity to the regional centre. Participating sites found the survey process acceptable, feasible to administer annually, and useful for responding to client needs.CONCLUSIONS: The survey was a feasible way for harm reduction sites across BC to obtain drug use data from clients who actively use drugs. Drug use frequencies differed substantially by region and community proximity to the regional centre, underlining the need for locally collected data to inform service planning.","British Columbia Centre for Disease Control, 655 West 12th Avenue, Vancouver, BC V5Z 4R4, Canada. margot.kuo@bccdc.ca.",2014,10.1186/1477-7517-11-13
74,,24766756,Predictors of pretreatment commitment to abstinence: results from the COMBINE study.,"OBJECTIVE: Patients entering treatment for alcohol problems do not have uniform treatment goals, and a pretreatment drinking goal has a significant impact on treatment outcome. The objective of this study was to understand better how an array of individual characteristics, including factors that affect treatment, are related to treatment goals before beginning alcohol treatment in the COMBINE (Combining Medications and Behavioral Interventions) Study.METHOD: Participants were alcohol-dependent individuals (N = 1,156; 357 women) recruited at 11 outpatient academic alcoholism-treatment clinics across the United States to participate in a randomized, double-blind, placebo-controlled trial that combined behavioral intervention with acamprosate and/or naltrexone. Treatment goal was coded as controlled drinking, conditional abstinence, or total abstinence. Multinomial logistic regressions assessed whether there were significant relationships between predictor variables and pretreatment goal selection.RESULTS: Lower levels of alcohol-related consequences, lower readiness to change, higher family income, more daily drinkers in social network, and lack of prior treatment or Alcoholics Anonymous engagement predicted choice of a controlled drinking goal over a total abstinence goal. Fewer alcohol-related consequences, lower readiness to change, and more daily drinkers in-network predicted choice of a conditional abstinence goal over a total abstinence goal.CONCLUSIONS: Higher levels of functioning, lower levels of consequences, no prior involvement in treatment and Alcoholics Anonymous, and a more drinking-saturated social environment are associated with the choice of a non-abstinence goal.","Department of Psychiatry, Yale University School of Medicine, New Haven, Connecticut.",2014,NA
75,,24725973,Correlates of hepatitis B among patients with mental illness in Brazil.,"OBJECTIVE: To assess correlates of hepatitis B among adults with mental illness under care in Brazil.METHOD: Cross-sectional national multicenter study of 2206 patients with mental illnesses randomly selected from 26 public mental health services. Sociodemographic and behavioral data were obtained from face-to-face interviews and psychiatric diagnoses from medical charts. Serology testing was conducted, and prevalence rate ratios were estimated by log-binomial regression.RESULTS: The weighted prevalence rates of current hepatitis B virus (HBV) infection (HBsAg+) and previous HBV exposure (anti-HBc+) were 2.0% [95% confidence interval (CI): 1.5%-2.7%] and 17.1% (95% CI: 16.0%-19.0%), respectively. Correlates of HBsAg+ included male gender, younger age (18-29 years), unstable place of residence, intellectual disability, main psychiatric diagnosis of dementia, presence of other medical comorbitidy, use of alcohol/drugs during sex, more than one sexual partner and use of cocaine. Correlates of anti-HBc+ included male gender, older age (≥30 years), black skin color, lower education, unstable place of residence, currently hospitalized, intellectual disability, history of any sexually transmitted disease or syphilis, poor HIV knowledge, history of imprisonment and sexual violence.CONCLUSIONS: Hepatitis B is an important comorbidity among psychiatric patients in Brazil. Screening for HBV, effective prevention and intervention strategies, including universal HBV immunization, should be routine practices in these mental health services.","Infectious Diseases Reference Center CTR-DIP Orestes Diniz, Municipal Health Division/Federal University of Minas Gerais, Belo Horizonte, Brazil; Research Group in Epidemiology and Health Service Evaluation, Belo Horizonte, Brazil. Electronic address: ricardocarmo.bhz@gmail.com.",2014,10.1016/j.genhosppsych.2014.03.001
76,,24714890,"[Factors associated with HIV/AIDS infection among adolescents and young adults enrolled in a Counseling and Testing Center in the State of Bahia, Brazil].","The study seeks to investigate factors associated with HIV infection among adolescents and young adults registered in the Counseling and Testing Center (CTC) of Feira de Santana, Bahia. An analytical study with a cross-sectional design was conducted using data from the CTC Information System in the period from 2007 to 2011. Information on 3,768 individuals were studied and the proportional difference was checked using the Pearson chi-squared test and stratified analysis by Prevalence Rate (PR) with confidence intervals of 95%, considering the serological status as the outcome. During the period under study, 73 young people were infected with HIV (1.94%). In the female population, statistically significant associations were identified for HIV status and drug use and consumption of alcohol and other drugs, as well as being married or in a stable relationship. In males, the consumption of other drugs and homosexual/bisexual orientation were associated with HIV status. In both sexes, in the category in a stable relationship the HIV status was associated with a partner using drugs and/or infected with a STD and/or HIV. These findings indicate the need for effective measures for the control and prevention of HIV infection among young people.",NA,2014,S1413-81232014000300747
77,,24707152,Psychosocial issues in evidence-based guidelines on inflammatory bowel diseases: a review.,"AIM: To study statements and recommendations on psychosocial issues as presented in international evidence-based guidelines on the management of inflammatory bowel diseases (IBD).METHODS: MEDLINE, guidelines International Network, National Guideline Clearing House and National Institute for Health and Care Excellence were searched from January 2006 to June 30, 2013 for evidence-based guidelines on the management of IBD.RESULTS: The search yielded 364 hits. Thirteen guidelines were included in the review, of which three were prepared in Asia, eight in Europe and two in the United States. Eleven guidelines made statements and recommendations on psychosocial issues. The guidelines were concordant in that mental health disorders and stress do not contribute to the aetiology of IBD, but that they can influence its course. It was recommended that IBD-patients should be screened for psychological distress. If indicated, psychotherapy and/or psychopharmacological therapy should be recommended. IBD-centres should collaborate with mental health care specialists. Tobacco smoking patients with Crohn's disease should be advised to quit.CONCLUSION: Patients and mental health specialists should be able to participate in future guideline groups to contribute to establishing recommendations on psychosocial issues in IBD. Future guidelines should acknowledge the presence of psychosocial problems in IBD-patients and encourage screening for psychological distress.","Winfried Häuser, Department of Internal Medicine I, Klinikum Saarbrücken, D-66119 Saarbrücken, Germany.",2014,10.3748/wjg.v20.i13.3663
78,,24701999,Smoking behaviors among patients receiving computed tomography for lung cancer screening. Systematic review in support of the U.S. preventive services task force.,"RATIONALE: Lung cancer screening using low-dose computed tomography (LDCT) is now widely recommended for adults who are current or former heavy smokers. It is important to evaluate the impact of screening on smoking abstinence rates.OBJECTIVE: Among current and former smokers eligible for lung cancer screening, we sought to determine the consequence of screening with LDCT, as well as subsequent results, on smoking cessation and relapse rates.EVIDENCE REVIEW: We searched the Cochrane Central Register of Controlled Trials and Cochrane Database of Systematic Reviews (through the fourth quarter, 2012), MEDLINE (2000 to May 31, 2013), reference lists of papers, and Scopus for relevant English-language studies and systematic reviews. To evaluate the effect of LDCT screening on smoking abstinence, we included only randomized controlled trials (RCTs) involving asymptomatic adults. To evaluate the association of particular results and/or recommendations from a screening CT with smoking behaviors, we included results from RCTs as well as cohort studies.MEASUREMENTS AND MAIN RESULTS: A total of 8,215 abstracts were reviewed. Three publications from two European RCTs and five publications from three cohort studies conducted in the United States met inclusion criteria. The process of LDCT lung cancer screening did not influence smoking behaviors. LDCT recipients with results concerning for lung cancer had higher abstinence rates than those with scans without such findings. This association may have a dose-response relationship in terms of the number of abnormal CT scans as well as the seriousness of the finding.CONCLUSIONS: Limited evidence suggests LDCT lung cancer screening itself does not influence smoking behaviors, but positive results are associated with increased abstinence. As lung cancer screening is implemented in the general population, it is very important to evaluate its association with smoking behaviors to maximize its potential as a teachable moment to encourage long-term abstinence. Clinicians should consider tailoring LDCT result communication to emphasize the importance of smoking abstinence.",1 Health Services Research and Development.,2014,10.1513/AnnalsATS.201312-460OC
