,direction,postal,center_name,state,website,city,email
10,Capitan Ravelo 2180,Capitan Ravelo 2180, Servicio Departamental de Salud La Paz\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,La Paz,http://www.sedeslapaz.gob.bo,La Paz,framavear@hotmail.com
11,Cerviño 3356,C1425AGP, Divisi\xf3n Toxicolog\xeda - Hospital Fern\xe1ndez\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Ciudad Autónoma de Buenos Aires,http://www.hospitalfernandez.org.ar/a_toxicologia.asp,Ciudad Autónoma de Buenos Aires,toxico_fernandez@yahoo.com
12,Río Lujan / Muelle 3 / Tigre,1.648, SENAF / Comunidad Terap\xe9utica Isla Silvia\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Buenos Aires,http://www.senaf.gob.ar/,Tigre,paida@senaf.gov.ar
13,"Ruta 30, km. 126",55000, CASABIERTA\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Artigas,http://www.casabierta.org.uy,Artigas,psi.pereirasergio@gmail.com
14,Calle La Salud,11101, Hospital Psiqui\xe1trico de Mendoza\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Francisco Morazan,http://No,Tegucigalpa,No
15,Morón 332 - Ciudad,5500, Plan Provincial de Adicciones\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Mendoza,http://mvezzoni@mendoza.gov.ar,Ciudad ,mvezzoni@hotmail.com
16,"Calle O Nº 216 % 23 y 25, Vedado Plaza de la Revolución",10700, Comisi\xf3n Nacional de Drogas\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,La Habana,http://No existe,La Habana,scd@oc.minjus.cu
17,48950000,48950000, CENTRO DE AOCIALTEN\xc7\xc3O PSICOSS\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,BAHIA,http://JOZEIZABELDAVI@HOTMAIL.COM,UAUÁ,JOSELINA.ALVES@HOTMAIL.COM
18,caps.sb@hotmail.com,48.970-000, CAPSI RENASCER\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,BAHIA,http://NÃO TEM WEB,SENHOR DO BONFIM,cleamiranda@hotmail.com
19,Casilla 248,Av.Saavedra 2245, Unidad de Salud Mental Hospital de Clinicas\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,La Paz,http://www.hospitaldeclinicas.freevar.com,La Paz,clinicas@megalink.com
20,sargento cabral y velez sarfield,3400, hospital de salud mental san francisco de asis\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,corrientes capital,http://www.hospitalsanfranciscodeasis.org,corrientes,nancybangerte@hotmail.com 
21,PILAR 950 ,1408, HOSPITAL SANTOJANNI\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,BUENOS AIRES,http://WWW.HOSPITALSANTOJANNI.COM.AR,CIUDAD AUTONOMA DE BUENOS AIRES,manapoli@intramed.net
22,"TOPACIO ENTRE DOLOMITA Y ANDADOR SONORA SN, COL. MINAS",24034, CAMPECHE. UNEME CAPA CAMPECHE\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,CAMPECHE ,http://www.cenadic.gob.mx,CAMPECHE,axshxs@hotmail.com
23," NIÑOS HÉROES ESQUINA FRANCISCO MÁRQUEZ, SN, COLONIA CENTRO ",43020, HIDALGO.UNEME-CAPA SAN FELIPE ORIZATL\xc1N SAN FELIPE ORIZATL\xc1N\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,HIDALGO,http://www.cenadic.salud.gob.mx/,SAN FELIPE ORIZATLÁN,nuevavidadir@hotmail.com
24,CARRETERA MEXICO LAREDO KM. 148 INT. C,42320, HIDALGO.UNEME-CAPA  IXMIQUILPAN IXMIQUILPAN\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,HIDALGO,http://www.cenadic.salud.gob.mx/,IXQUIMILPAN,nuevavidaixmidir@gmail.com
25,DIAZ MIRON ENTRE OAXACA Y AV. PRINCIPAL,42830, HIDALGO.UNEME-CAPA TULA DE ALLENDE TULA DE ALLENDE\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,HIDALGO,http://www.cenadic.salud.gob.mx/,TULA DE ALLENDE,unemecapa_tula@yahoo.com.mx
26,"AV.18 DE OCTUBRE, COLONIA: CHAPALA ",96737, VERACRUZ.UNEME-CAPA MINATITL\xc1N MINATITL\xc1N\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,VERACRUZ,http://www.cenadic.salud.gob.mx/,MINATITLAN,nuevavidaminaver@hotmail.com
27,"Pátio do Colégio, 148, sala 53, Centro - SP",01016-040, Coordena\xe7\xe3o de Pol\xedticas sobre Drogas do Estado de S\xe3o Paulo\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,Estado de São Paulo ,http://www.justica.sp.gov.br,São Paulo,coed@sp.gov.br
28,"AVENIDA NICOLAS BRAVO ENTE AVENIDA JUAREZ Y ZARAGOZA, COLONIA CENTRO",96400, VERACRUZ.UNEME-CAPA COATZACOALCOS I COATZACOALCOS\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,VERACRUZ,http://www.cenadic.salud.gob.mx/,COATZACOALCOS,coatzanuevavida@hotmail.com
29,CALLE GONZALO GUERRERO COL. JAVIER ROJO GÓMEZ,77890, QUINTANA ROO. UNEME CAPA JOS\xc9 MAR\xcdA MORELOS  \n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,QUINTANA ROO,http://www.cenadic.gob.mx,JOSE MARIA MORELOS,mar.bel.col@hotmail.com
30,"PRADO DE LOS ABEDULES 1745, ENTRE PRADO DE LAS  ACACIAS Y PRADO DE LOS MEZQUITES, COLONIA  PRADOS DE LA CRUZ 2DA. SECCIÓN",45400, JALISCO.UNEME-CAPA TONAL\xc1 I TONAL\xc1\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,JALISCO,http://www.cenadic.salud.gob.mx,TONALÁ,capatonala1@hotmail.com
31,BOULEVARD LUIS DONALDO COLOSIO No.100 FRACC. COLOSIO I PACHUCA DE SOTO HIDALGO,42088, HIDALGO.CENTRO ESTATAL DE ATENCION INTEGRAL DE LAS ADICCIONES UNEME-CAPA PACHUCA\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,HIDALGO,http://www.s-salud.hidalgo.gob.mx,PACHUCA DE SOTO,ceaia_hidalgo@yahoo.com.mx
32,"REGIÓN 516, CALLE 30 A MZ. 14, LT132",77534, QUINTANA ROO. UNEME CAPA REGI\xd3N 516 \n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,QUINTANA ROO ,http://www.cenadic.gob.mx,BENITO JUÁREZ ,mar.bel.col@hotmail.com
33,"CALLE DEL HOSPITAL ESQ. AV. DE LA JUVENTUD 37A, COL. CERRO DEL FORTÍN N ",40980, GUERRERO. UNME CAPA COYUCA DE BEN\xcdTEZ \n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,GUERRERO,http://www.cenadic.gob.mx,COYUCA DE BENITEZ,cnvguerrero@hotmail.com
34,"LAGUNA DE JABALÍ ESQUINA CON LAGUNA DE JULUAPAN, COLONIA  PRIMAVERAS DEL REAL",28180, COLIMA.UNEME-CAPA TECOM\xc1N TECOM\xc1N\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,COLIMA,http://www.cenadic.salud.gob.mx,TECOMÁN,coordinadornuevavidateco@gmail.com
35,ORIENTE 41 # 631 COLONIA URSULO GALVAN,94310, VERACRUZ.UNEME-CAPA ORIZABA ORIZABA\n\t\t\n\t\t\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\n\n\n\n\n\t\n\t\n\t\t\n\t\t\n\t\t,VERACRUZ,http://www.cenadic.salud.gob.mx,ORIZABA,labsbs_03@hotmail.com
