"Nombre_centro","Nombre_capacitacion","Capacitacion_contenido","Capacitation_horas","Capacitation_certificacion","Pais","Atual","Desde","Modalidade","Responsable_email","Center_telefono"
" CENTRO DE PREVENCIÓN Y ATENCIÓN DE ADICCIONES DR. AYALA
FACULTAD DE PSICOLOGÍA, UNIVERSIDAD NACIONAL DE MÉXICO"," CURSO DE CAPACITACIÓN PARA LA DETECCIÓN TEMPRANA E INTERVENCIÓN BREVE PARA BEBEDORES PROBLEMA ","PANORAMA EPIDEMIOLÓGICO DEL ALCOHOL EN MÉXICO
FUNDAMENTO TEÓRICO.
ESPECTRO DE BEBEDORES
INTRODUCCIÓN A LAS INTERVENCIONES BREVES
ENTREVISTA MOTIVACIONAL
ADMISIÓN 
EVALUACIÓN INICIAL 
1.	PRIMERA SESIÓN: BALANCE DECISIONAL Y ESTABLECIMIENTO DE META
2.	SEGUNDA SESIÓN: SITUACIONES DE CONSUMO 
3.	TERCERA SESIÓN: PLANES DE ACCIÓN
4.	CUARTA SESIÓN: REVISIÓN DE LO APRENDIDO Y REESTABLECIMIENTO 
  DE  META
5. SEGUIMIENTOS
PRÁCTICA ""REPRESENTACIONES DE UNA SESIÓN DE LA INTERVENCIÓN 
BREVE","30","SI","MÉXICO","SI","2000","PRESENCIAL,A DISTANCIA,","LBARRAGANTORRES@GMAIL.COM ","5554 09 7387"
" CENTRO DE REFERENCIA DA UNIVERSIDADE DO ESTADO DA BAHIA"," CENTRO DE REFERÊNCIA PARA FORMAÇÃO PERMANENTE PARA MANEJO DE SITUAÇÕES RELACIONADAS Á ÁLCOOL E OUTRAS DROGAS ","NÚCLEO COMUM A TODAS AS ÁREAS.
•A POLÍTICA NACIONAL SOBRE DROGAS (PNAD) E A POLÍTICA NACIONAL SOBRE O ÁLCOOL
•POLÍTICAS SETORIAIS DE SAÚDE E DE ASSISTÊNCIA SOCIAL •REDE DE ATENÇÃO: SUS (PSF, NASF, CAPS, HG), SUAS (CRAS, CREAS) E SUAS INTER-RELAÇÕES
•CONCEITO DE DROGA E PADRÕES DE USO (INTOXICAÇÃO AGUDA, USO CRÔNICO, USO NOCIVO, DEPENDÊNCIA, ABSTINÊNCIA)
•EPIDEMIOLOGIA DO USO DE DROGAS NO BRASIL E NO MUNDO •OS PRINCIPAIS QUADROS CLÍNICO-PSICOPATOLÓGICOS DECORRENTES DO USO DAS DIVERSAS DROGAS
•ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE CRACK E OUTRAS DROGAS: ATENÇÃO INTEGRAL
•ABORDAGEM DOS FAMILIARES DO USUÁRIO DE CRACK
•REDES DE APOIO SOCIAL E REINSERÇÃO SOCIAL DO USUÁRIO DE DROGAS.
INTERVENÇÃO BREVE E ENTREVISTA MOTIVACIONAL.

","60","NO","BRASIL","NO","2010","PRESENCIAL,","HTTP://WWW.UNEB.BR/CRR/SOBRE/","61-982078737"
" CENTRO DE REFERÊNCIA DO PROGRAMA DE ESTUDOS E ASSISTÊNCIA AO USO INDEVIDO DE DROGAS DO INSTITUTO DE PSIQUIATRIA DA UNIVERSIDADE FEDERAL DO RIO DE JANEIRO – CRR-PROJAD/UFRJ"," PROCESSOS FORMATIVOS EDITAL Nº8/2014
"," POLÍTICA NACIONAL DE SAÚDE MENTAL, ÁLCOOL E OUTRAS DROGAS. RECURSOS DA REDE DE SAÚDE MENTAL E DA REDE SUAS. EPIDEMIOLOGIA DO USO DE DROGAS NO BRASIL. REDUÇÃO DE DANOS. PSICOPATOLOGIA E FARMACOTERAPIA. COMORBIDADES PSIQUIÁTRICAS. ACOLHIMENTO E INTERVENÇÕES NA RUA: O PAPEL DO CONSULTÓRIO DE RUA. O CUIDADO NO CAPS-AD III. IDENTIFICAÇÃO PRECOCE E INTERVENÇÃO BREVE NA ATENÇÃO BÁSICA. GERENCIAMENTO DE CASOS. MENTAL HEALTH GAP. METODOLOGIA DE CONSTRUÇÃO DE PROJETOS DE INTERVENÇÃO TERRITORIAL. REINSERÇÃO SOCIAL.","80","NO","BRASIL","NO","2014","PRESENCIAL,","PROJADESPECIALIZACAO@IPUB.UFRJ.BR","5521999569656"
"CENTRO ESTATAL CONTRA LAS ADICCIONES","HABILIDADES PARA LA VIDA","HABILIDADES SOCIALES
HABILIDADES DEL PENSAMIENTO
HABILIDADES DEL MANEJO DE EMOCIONES","4","SI","MÉXICO","SI","2011","PRESENCIAL,","FORMAMXL@IPEBC.GOB.MX","6862267978"
" CENTRO REGIONAL DE REFERÊNCIA DA ALIANÇA DE REDUÇÃO DE DANOS FÁTIMA CAVALCANTI DA UNIVERSIDADE FEDERAL DA BAHIA"," OFICINA PARA ELABORAÇÃO E SUPERVISÃO DE PROPOSTAS DE INTERVENÇÃO NO CAMPO DO CONSUMO ABUSIVO DE ÁLCOOL E OUTRAS DROGAS PARA EDUCADORES DA REDE ESTADUAL DE EDUCAÇÃO E ENTIDADES QUE ATUAM NO ATENDIMENTO/APOIO A ADOLESCENTES E CRIANÇAS EM SITUAÇÃO DE VULNERABILIDADE"," 1.	ESCOLA, JUVENTUDE E DROGAS.
2.	SOCIOANTROPOLOGIA E EPIDEMIOLOGIA  DO CONSUMO DE DROGAS
3.	A POLÍTICA NACIONAL SOBRE DROGAS (PNAD) E A POLÍTICA NACIONAL SOBRE O ÁLCOOL. 
4.	POLÍTICAS SETORIAIS DE SAÚDE E DE ASSISTÊNCIA SOCIAL.
5.	REDE DE ATENÇÃO: SUS (PSF, NASF,CAPS,HG), SUAS (CRAS, CREAS) E SUAS INTERRELAÇÕES.
6.	O SISTEMA JUDICIÁRIO (VARAS DA FAMÍLIA E DA INFÂNCIA E JUVENTUDE), O MINISTÉRIO PÚBLICO E AS DEFENSORIAS PÚBLICAS.
7.	O ESTATUTO DA CRIANÇA E DO ADOLESCENTE. SISTEMA DE GARANTIA DE DIREITOS, PAPEL DO CONSELHO TUTELAR E DE DIREITOS.
8.	CONCEITO DE DROGAS E SEUS PADRÕES DE USO (INTOXICAÇÃO AGUDA, USO CRÔNICO, USO NOCIVO, DEPENDÊNCIA, ABSTINÊNCIA).
9.	ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS: ATENÇÃO INTEGRAL COM ÊNFASE NA REDUÇÃO DE DANOS.
10.	ABORDAGEM DOS FAMILIARES DO USUÁRIO DE CRACK E OUTRAS DROGAS.
","40","NO","BRASIL","NO","2016","PRESENCIAL,","PROJETOCRR.ARDFC@GMAIL.COM","(71) 99186-8781"
" CENTRO REGIONAL DE REFERÊNCIA DA ALIANÇA DE REDUÇÃO DE DANOS FÁTIMA CAVALCANTI DA UNIVERSIDADE FEDERAL DA BAHIA"," FÓRUM DE DISCUSSÃO SOBRE ABUSO DE SPA’S  E ARTICULAÇÃO DAS REDES SUS E SUAS NA ATENÇÃO À POPULAÇÃO EM SITUAÇÃO DE VULNERABILIDADE","1.   ASPECTOS HISTÓRICOS E CULTURAIS SOBRE O USO DE SPAS.
2.   EPIDEMIOLOGIA DO USO DE DROGAS NO BRASIL E NO MUNDO
3.   POLÍTICA DE DROGAS 
4.   O USUÁRIO DE SPAS COMO SUJEITO DE DIREITOS.
5.   POPULAÇÃO EM SITUAÇÃO DE RUA: CARACTERIZAÇÃO, PRINCIPAIS PROBLEMAS CLÍNICOS; O USO ABUSIVO DE SPA’S. 
6.  FATORES DE RISCO E VULNERABILIDADE E FATORES DE PROTEÇÃO NO CAMPO DO CONSUMO DE DROGAS.
7.  CRIANÇAS E ADOLESCENTES EM SITUAÇÃO DE RUA USUÁRIOS DE SPA’S
REDUÇÃO DE DANOS: DE PRÁTICA DE SAÚDE A POLÍTICA PÚBLICA.
8.  SUS E SUAS: UMA ARTICULAÇÃO NECESSÁRIA
9. DESIGUALDADE SOCIAL, ESTIGMA E CRIMINALIZAÇÃO DA POBREZA
10. REINSERÇÃO SOCIAL: AS POSSIBILIDADES DE INTERVENÇÃO
","60","NO","BRASIL","NO","2016","PRESENCIAL,","PROJETOCRR.ARDFC@GMAIL.COM","(71) 99186-8781"
" CENTRO REGIONAL DE REFERÊNCIA DA ALIANÇA DE REDUÇÃO DE DANOS FÁTIMA CAVALCANTI DA UNIVERSIDADE FEDERAL DA BAHIA"," FÓRUM DA REDE DE ATENÇÃO PSICOSSOCIAL PARA DISCUSSÃO E MATRICIAMENTO DE CASOS DE CONSUMO ABUSIVO DE ÁLCOOL, CRACK E OUTRAS DROGAS "," 1.	A POLÍTICA NACIONAL SOBRE DROGAS (PNAD), POLÍTICA NACIONAL SOBRE O ÁLCOOL, POLÍTICA DE SAÚDE MENTAL.
2.	SOCIOANTROPOLOGIA E EPIDEMIOLOGIA DO CONSUMO DE DROGAS NO BRASIL E NO MUNDO.
3.	CONCEITO DE DROGAS E SEUS PADRÕES DE USO (INTOXICAÇÃO AGUDA, USO CRÔNICO, USO NOCIVO, DEPENDÊNCIA, ABSTINÊNCIA).
4.	ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS: ATENÇÃO INTEGRAL COM ÊNFASE NA REDUÇÃO DE DANOS.
5.	ABORDAGEM DOS FAMILIARES DO USUÁRIO DE CRACK E OUTRAS DROGAS.
6.	SAÚDE MENTAL NA ATENÇÃO PRIMÁRIA.
7.	PRINCÍPIOS E DIRETRIZES DA REDE DE ATENÇÃO PSICOSSOCIAL E SEUS EQUIPAMENTOS.
8.	CONCEITOS, PRINCÍPIOS E INSTRUMENTOS DO MATRICIAMENTO.
9.	MATRICIAMENTO EM SAÚDE MENTAL.
10.	CONCEITO, PRINCÍPIOS, ESTRATÉGIAS E APLICAÇÕES DE GERENCIAMENTO  DE CASOS EM DISTINTAS POPULAÇÕES E SITUAÇÕES, COM FOCO EM USUÁRIOS DE DROGAS
","72","NO","BRASIL","NO","2016","PRESENCIAL,","PROJETOCRR.ARDFC@GMAIL.COM","(71) 99186-8781"
" CENTRO REGIONAL DE REFERÊNCIA DA ALIANÇA DE REDUÇÃO DE DANOS FÁTIMA CAVALCANTI DA UNIVERSIDADE FEDERAL DA BAHIA","FÓRUM  INTER CAPS PARA ATENÇÃO PSICOSSOCIAL AO CONSUMO DE ÁLCOOL, CRACK E OUTRAS DROGAS, COM ÊNFASE NA INFÂNCIA E ADOLESCÊNCIA"," 1.	SOCIOANTROPOLOGIA DO CONSUMO DE DROGAS.
2.	EPIDEMIOLOGIA DO USO DE DROGAS NO BRASIL E NO MUNDO.
3.	A POLÍTICA NACIONAL DE SAÚDE MENTAL, POLÍTICA NACIONAL SOBRE DROGAS (PNAD) E POLÍTICA NACIONAL SOBRE O ÁLCOOL. 
4.	POLÍTICAS SETORIAIS DE SAÚDE E DE ASSISTÊNCIA SOCIAL. 
5.	PORTARIAS REGULADORAS DOS CAPS.
6.	PRINCIPAIS CONCEITOS NO CAMPO DO CONSUMO DE DROGAS E PRINCIPAIS QUADROS CLÍNICO-PSICOPATOLÓGICOS DECORRENTES.
7.	REDUÇÃO DE DANOS. 
8.	ABORDAGEM INTERDISCIPLINAR DO CONSUMO DE DROGAS.
9.	O TRABALHO EM REDE DE ATENÇÃO PSICOSSOCIAL: IMPORTÂNCIA E DESAFIOS.
10.	O ACOLHIMENTO E O PROJETO TERAPÊUTICO INSTITUCIONAL EM SERVIÇOS DE ATENÇÃO AO CONSUMO PREJUDICIAL DE ÁLCOOL, CRACK E OUTRAS DROGAS.
11.	CONDIÇÕES DE RISCO E VULNERABILIDADE:
-O SUJEITO INFANTO JUVENIL. -DROGAS E TRANSTORNOS MENTAIS.
-PESSOAS EM SITUAÇÃO DE RUA.
","72","NO","BRASIL","NO","2016","PRESENCIAL,","PROJETOCRR.ARDFC@GMAIL.COM","(71) 99186-8781"
" CENTRO REGIONAL DE REFERÊNCIA DA ALIANÇA DE REDUÇÃO DE DANOS FÁTIMA CAVALCANTI DA UNIVERSIDADE FEDERAL DA BAHIA. "," OFICINA DE ELABORAÇÃO DE PROPOSTAS DE INTERVENÇÃO NO CAMPO DO CONSUMO DE ÁLCOOL E OUTRAS DROGAS PARA PROFISSIONAIS DA SEGURANÇA PÚBLICA "," 1.	SOCIOANTROPOLOGIA DO CONSUMO DE DROGAS
2.	EPIDEMIOLOGIA DO USO DE DROGAS NO BRASIL E NO MUNDO.
3.	A POLÍTICA NACIONAL DE SAÚDE MENTAL, POLÍTICA NACIONAL SOBRE DROGAS (PNAD) E POLÍTICA NACIONAL SOBRE O ÁLCOOL. 
4.	POLÍTICAS SETORIAIS DE SAÚDE E DE ASSISTÊNCIA SOCIAL. 
5.	REDE DE ATENÇÃO: SUS (ESF,NASF,CAPS,HG), SUAS (CRAS, CREAS), SISTEMA JUDICIÁRIO E SUAS INTERRELAÇÕES.
6.	CONCEITO DE DROGAS, PADRÕES DE USO (INTOXICAÇÃO AGUDA, USO CRÔNICO, USO NOCIVO, DEPENDÊNCIA, ABSTINÊNCIA) E PRINCIPAIS QUADROS CLÍNICO-PSICOPATOLÓGICOS DECORRENTES DO USO DAS DIVERSAS DROGAS.
8.	MODELOS JURÍDICOS RELACIONADOS AO CONSUMO DE DROGAS. 
","40","NO","BRASIL","NO","2016","PRESENCIAL,","PROJETOCRR.ARDFC@GMAIL.COM","(71) 99186-8781"
"CENTRO REGIONAL DE REFERÊNCIA DA ALIANÇA DE REDUÇÃO DE DANOS FÁTIMA CAVALCANTI DA UNIVERSIDADE FEDERAL DA BAHIA"," ATUALIZAÇÃO EM ATENÇÃO INTEGRAL AOS USUÁRIOS DE CRACK E OUTRAS DROGAS PARA PROFISSIONAIS DE HOSPITAIS GERAIS E/OU DE INSTITUÇÕES QUE TENHAM PRIVAÇÃO DE LIBERDADE (FUNDAC). "," 1. A POLÍTICA NACIONAL SOBRE DROGAS (PNAD) E A POLÍTICA NACIONAL SOBRE O ÁLCOOL. 
2. REDE DE ATENÇÃO: SUS (PSF,NASF,CAPS), SUAS (CRAS, CREAS) E SUAS INTER-RELAÇÕES E INTEGRAÇÃO COM O HOSPITAL GERAL (HG)
ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS: ATENÇÃO INTEGRAL NO HG.
3. CONCEITO DE DROGAS E SEUS PADRÕES DE USO (INTOXICAÇÃO AGUDA, USO CRÔNICO, USO NOCIVO, DEPENDÊNCIA, ABSTINÊNCIA).
4. OS PRINCIPAIS QUADROS CLÍNICO-PSICOPATOLÓGICOS DECORRENTES DO USO DAS DIVERSAS DROGAS.
5. CLÍNICA E TERAPÊUTICA DO CONSUMO ABUSIVO DE ÁLCOOL, CRACK E OUTRAS DROGAS.
6. COMPLICAÇÕES CLÍNICAS DOS DISTINTOS PADRÕES DE USO DAS DIVERSAS DROGAS. 
7. CLÍNICA E TERAPÊUTICA DA INTOXICAÇÃO AGUDA E CRÔNICA POR DROGAS.
8. CLÍNICA E TERAPÊUTICA DA DEPENDÊNCIA DE DROGAS
9. CLÍNICA E TERAPÊUTICA DA ABSTINÊNCIA DE DROGAS 
10. CRITÉRIOS CLÍNICOS PARA INTERNAÇÃO E PARA A ALTA DE USUÁRIOS DE DROGAS
11. A FAMÍLIA DO USUÁRIO DE CRACK E OUTRAS DROGAS, REDES DE APOIO SOCIAL E REINSERÇÃO SOCIAL DO 
12. REDUÇÃO DE DANOS: DE PRÁTICA DE SAÚDE A POLÍTICA PÚBLICA.
13. APLICAÇÃO DA RD NO CONTEXTO DO HG E INSTITUIÇÕES DE PRIVAÇÃO DE LIBERDADE, USUÁRIO DE CRACK E OUTRAS DROGAS
","40","NO","BRASIL","NO","2016","PRESENCIAL,","PROJETOCRR.ARDFC@GMAIL.COM","(71) 99186-8781"
" CENTRO REGIONAL DE REFERÊNCIA - DIMESAD - UNIFESP","IMPLEMENTAÇÃO DE PROCESSOS FORMATIVOS POR MEIO DO CENTRO REGIONAL DE REFERÊNCIA (CRR UDED DIMESAD UNIFESP) PARA AGENTES E TRABALHADORES ATUANTES NO CAMPO DAS POLÍTICAS SOBRE DROGAS
","MÓDULO DE CONTEXTOS
MÓDULO DE INTERVENÇÃO BREVE
MÓDULO DE TRATAMENTO COMUNITÁRIO
MÓDULO DE HOSPITAIS E MATERNIDADES
MÓDULO DE ADOLESCENTES EM VULNERABILIDADE
MÓDULO DE EDUCAÇÃO EM SAÚDE
MÓDULO DE REDES","40","SI","BRASIL","SI","2012","PRESENCIAL,","CRRUNIFESP@GMAIL.COM","5511999599932"
" CENTRO REGIONAL DE REFERÊNCIA E FORMAÇÃO EM POLÍTICAS SOBRE DROGAS DO ESTADO DE SERGIPE - CRR/SE","- ARTICULAÇÃO DA REDE INTERSETORIAL NA PREVENÇÃO E CUIDADO DE USUÁRIOS DE DROGAS;

- DISPOSITIVO DE CUIDADO NA ATENÇÃO A PESSOAS QUE FAZEM USO ABUSIVO DE ÁLCOOL E OUTRAS DROGAS;"," 1. SUJEITO, CONTEXTO E SUBSTÂNCIAS PSICOATIVAS: A COMPLEXIDADE DO FENÔMENO DO USO ÁLCOOL E OUTRAS DROGAS;
2. PADRÕES DE USO: TIPOS DE USO, ABUSO E DEPENDÊNCIA;
3.A POLÍTICA NACIONAL SOBRE DROGAS (PNAD) E A POLÍTICA NACIONAL SOBRE O ÁLCOOL
4. POLÍTICAS SETORIAIS DE SAÚDE E DE ASSISTÊNCIA SOCIAL;
5. REDE DE ATENÇÃO: SUS (PSF, NASF, CAPS, HG), SUAS (CRAS, CREAS) E SUAS INTER-RELAÇÕES;
6. A SAÚDE MENTAL NAS POLÍTICAS PÚBLICAS DE SAÚDE;
7. NÍVEIS DE INTERVENÇÃO: PROMOÇÃO DA SAÚDE, PREVENÇÃO, CUIDADO E REABILITAÇÃO;
8. CONCEITO DE DROGAS E SEUS PADRÕES DE USO (INTOXICAÇÃO AGUDA, USO CRÔNICO, USO NOCIVO, DEPENDÊNCIA, ABSTINÊNCIA);
9. AS DROGAS E SEUS EFEITOS NA SOCIEDADE: ABORDAGEM SÓCIO-ANTROPOLÓGICA;
10. EPIDEMIOLOGIA DO USO DE DROGAS NO BRASIL E NO MUNDO;
11. OS PRINCIPAIS QUADROS CLÍNICO-PSICOPATOLÓGICOS DECORRENTES DO USO DAS DIVERSAS DROGAS;
12. ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS: ATENÇÃO INTEGRAL;
13. CONCEITOS FUNDAMENTAIS: ACOLHIMENTO, ESCUTA, VÍNCULO, EMPATIA;
14. PROJETO TERAPÊUTICO SINGULAR (PTS);
15. ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS: DESINTOXICAÇÃO;
16. ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS: TERAPIAS FARMACOLÓGICAS;
17. ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS: INTERVENÇÃO BREVE, ACONSELHAMENTO MOTIVACIONAL E REDUÇÃO DE DANOS;
18. ABORDAGENS TERAPÊUTICAS DO USUÁRIO DE DROGAS: REABILITAÇÃO PSICOSSOCIAL;
19. CRITÉRIOS CLÍNICOS PARA A INTERNAÇÃO E A PARA A ALTA DE USUÁRIOS DE DROGAS;
20. ABORDAGEM DOS FAMILIARES DO USUÁRIO DE CRACK E OUTRAS DROGAS;
21. VIOLÊNCIA DOMÉSTICA E ABUSO DE ÁLCOOL, CRACK E OUTRAS DROGAS;
22. REDES DE APOIO SOCIAL E REINSERÇÃO SOCIAL DO USUÁRIO DE DROGAS.
","80","SI","BRASIL","SI","2016","PRESENCIAL,SEMIPRESENCIAL,","CRRSERGIPE@GMAIL.COM","55 (79) 9-9147-0523"
