"db","index","title","authors","abstract"
"fuente academica","21.
		","ATENCIÓN DOMICILIAR: DETECCIÓN TEMPRANA DE LOS SÍNTOMAS DE BURN-OUT EN FAMILIARES QUE CUIDAN A PERSONAS CON VIH/SIDA. ","By: Castellanos, A. César E. ",NA
"fuente academica","22.
		","Detección de problemas de salud mental en un grupo especialmente vulnerable: niños y adolescentes en acogimiento residencial. ","By: Sainero, Ana; del Valle, Jorge F.; Bravo, Amaia. ",NA
"fuente academica","23.
		","Experiencias esquizotípicas en la adolescencia: propiedades psicométricas del Schizotypal Personality Questionnarie-Child. ","By: Fonseca-Pedrero, Eduardo; Ortuño, Javier; Paino, Mercedes; Lemos-Giráldez, Serafín; Muñiz, José. ",NA
"fuente academica","24.
		","Hallazgos clínicos, mamográficos y ecográficos en un programa comunitario de tamizaje para detección temprana de cáncer de seno en la ciudad de Bucaramanga. ","By: Botero, Natalia Jaramillo; Súarez, Juan Carlos Mantilla; Serrano, Juan José Rey. ",NA
"fuente academica","25.
		","Sintomas Depressivos e Capacidade Funcional em Idosos Institucionalizados. ","By: Soares da Silva, Joyce Kelly; dos Santos Albuquerque, Maria Cícera; Soares de Souza, Elizabeth Moura; Monteiro, Fernanda Silva; Lima Esteves, Germano Gabriel. ",NA
"fuente academica","26.
		","Testing for Bubbles in the Colombian Housing Market: A New Approach. ","By: Gómez-González, José E.; Ojeda-Joya, Jair N.; Rey-Guerra, Catalina; Sieard, Natalia. ",NA
"fuente academica","27.
		","¿HAY UNA BURBUJA INMOBILIARIA EN BOGOTÁ? UN ESTUDIO POR SEGMENTOS DE MERCADO. ","By: Cediel Sánchez, Vanessa; Velásquez Vega, Carlos. ",NA
"fuente academica","28.
		","Un Caso de Estudio para la Adopción de un Modelo de Trazabilidad de Requisitos en el Sector Energético. ","By: Sepúlveda-Castaño, Jorge Mauricio; Monsalve-Gómez, Juan Carlos; Montoya-Suárez, Lina María. ",NA
"fuente academica","29.
		","Early diagnosis of diabetic retinopathy in primary care. ","By: Jiménez-Báez, María Valeria; Márquez-González, Horacio; Bárcenas-Contreras, Rodolfo; Morales-Montoya, Carlos; Espinosa-García, Laura Fátima. ",NA
"fuente academica","30.
		","PREVALENCIA Y COMORBILIDAD DEL TRASTORNO DE ANSIEDAD GENERALIZADA EN UNA MUESTRA ESPAÑOLA DE ESCOLARES ADOLESCENTES. ","By: Rojo Moreno, Luis; Arques Egea, Sergio; Plumed Domingo, José Javier; Barberá Fons, María Antonia; Castelló Gascó, Javier; Livianos Aldana, Lorenzo; Gimeno Clemente, Natalia. ",NA
"fuente academica","31.
		","Internal structure and standardized scores of the Spanish adaptation of the EGRA (Early Grade Reading Assessment) for early reading assessment. ","By: Jiménez, Juan E.; Gove, Amber; Crouch, Luis; Rodríguez, Cristina. ",NA
"fuente academica","32.
		","Ideación suicida en estudiantes de medicina: prevalencia y factores asociados. ","By: Pinzón-Amado, Alexander; Guerrero, Sonia; Moreno, Katherine; Landínez, Carolina; Pinzón, Julie. ",NA
"fuente academica","33.
		","EL FRACASO ACADÉMICO EN LA UNIVERSIDAD: DISEÑO DE UN SISTEMA DE EVALUACIÓN Y DETECCIÓN TEMPRANA. ","Unknow",NA
"fuente academica","34.
		","Una revisión sobre indicadores integradores para evaluar el impacto de las sustancias húmicas sobre el sistema suelo-agua de lixiviación (I). ","By: Arteaga Barrueta, Mayra; Garcés, Nelson; Guridis, Fernando; Pino, José A. ",NA
"fuente academica","35.
		","Contribución de Enfermería en la prevención y detección temprana de la Sepsis. ","By: Idelma, Villalobos M. ",NA
"fuente academica","36.
		","Efectos de la detección temprana sobre el desarrollo psico-social y lingüístico de los niños con pérdidas auditivas permanentes. ","Unknow",NA
"fuente academica","37.
		","El cáncer y su impacto en salud pública. ","By: Cajamarca Barón, Jairo Hernán. ",NA
"fuente academica","38.
		","EL FRACASO ACADÉMICO EN LA UNIVERSIDAD: DISEÑO DE UN SISTEMA DE EVALUACIÓN Y DETECCIÓN TEMPRANA. ","Unknow",NA
"fuente academica","39.
		","Comorbidity of oppositional defiant disorder and anxiety disorders in preschoolers. ","By: Martín, Virginia; Granero, Roser; Ezpeleta, Lourdes. ",NA
"fuente academica","40.
		","Desarrollo de un Arreglo Circular de Antenas utilizando herramientas de Electromagnetismo Computacional. ","By: Calderón, Celia M.; Pérez, Héctor M.; Benavides, Alberto M.; Morales, Luis J. ",NA
"fuente academica","41.
		","Modelado de vehículo para aplicación en sistemas de tiempo real. El chasis rodante virtual. ","By: Iglesias-Aguinaga, Iñaki; Mart?n-Sandi, Adrián; Peña-Rodríguez, Alberto. ",NA
"fuente academica","42.
		","Detección temprana de necesidades del niño de 2-3 años y de su padres respecto a la alimentación. ","By: Marcos Pérez, E.; Muñoz París, M. J.; Sánchez López, P.; Moles Pérez, P. ",NA
"fuente academica","43.
		","Aplicación de la Modelación Orientada a Aspectos. ","By: Vidal, Cristian L.; Hernández, Dannia D.; Pereira, Cristian A.; Río, María C. Del. ",NA
"fuente academica","44.
		","Current status of the programs for detection of hearing loss in children younger than six months in Cali. ","By: González, Laura; de Soto, Julia María Fernández; Torres, Martha Inés. ",NA
"fuente academica","45.
		","Resistencia a lambdacihalotrina y fenitrotión en una población de campo de Panstrongylus geniculatus (Hemiptera: Reduviidae: Triatominae). ","By: Torres, Flor A. P.; Angulo, Víctor M. S.; Reyes, J. Marlene. ",NA
"fuente academica","46.
		","Evaluación de la distribución de los criterios diagnósticos para síndrome metabólico, en Pereira, Colombia. ","By: Pinzón Duque, Oscar Alonso; Sánchez Naranjo, Julio César; Sepúlveda Arias, Juan Carlos; Rivera Salazar, María Elena. ",NA
"fuente academica","47.
		","VIGILANCIA DIRIGIDA DE INFLUENZA AVIAR EN AVES SILVESTRES USANDO PATOS DOMÉSTICOS (Cairina moschata) COMO CENTINELAS. ","By: Rondón E., Juan; Icochea D., Eliana; González Z., Armando; González V., Rosa. ",NA
"fuente academica","48.
		","Alteraciones endocrinometabólicas en la enfermedad pulmonar obstructiva crónica. ","By: Torres-Sánchez, Irene; Valenza, Marie Carmen; Carrasco, Fernando; Cabrera-Martos, Irene; Valenza-Demet, Gerald; Cano-Capellaci, Marcelo. ",NA
"fuente academica","49.
		","El «lobo solitario» como elemento emergente y evolución táctica del terrorismo yihadista. ","By: Buezo, Mario Toboso. ",NA
"fuente academica","50.
		","APPLICATIONS OF WAVELETS IN INDUCTION MACHINE FAULT DETECTION. ","By: Schmitt, Erick; Idowu, Peter; Morales, Aldo. ",NA
"fuente academica","51.
		","Cluster A maladaptive personality patterns in a non-clinical adolescent population. ","By: Fonseca-Pedrero, Eduardo; Paino, Mercedes; Santarén-Rosell, Marta; Lemos-Giráldez, Serafín. ","Background: The prevalence and expression of Cluster A personality disorders in adolescence is poorly analyzed and understood. The main goal was to analyze the rate of Cluster A traits and malada..."
"fuente academica","52.
		","Polaridad predominante en pacientes bipolares tipo I. ","By: Toro Obando, Antonio Carlos; Agudelo García, Ángela María; Gallo Rodríguez, María Aurora; Restrepo Palacio, Tomás Felipe; Soto Ontoso, Miguel; Tamayo, Alejandra; López Jaramillo, Carlos Alberto. ","Introduction: Recent studies have shown that the predominant description of polarity has effects upon early detection and the timely beginning of treatment in patients with bipolar affective diso..."
"fuente academica","53.
		","Cardiomiopatía inducida por antraciclinas en pacientes tratadas por cáncer de mama. ","By: Alarcón, Liliana; Esper, Jhonatan; Álzate, Fabián; Insuasty E., Jesús S. ","Anthracyclines are chemotherapeutic agents that were considered the cornerstone for multiple chemotherapy regimes. Despite being an encouraging treatment, it faces several side-effects, some of t..."
"fuente academica","54.
		","CARACTERÍSTICAS MARCADORAS EN SUSPENSIONES CELULARES EMBRIOGÉNICAS DE BANANO CIEN BTA-03 (AAAA) Y SU PARENTAL WILLIAMS (AAA). ","By: Ramírez-Villalobos, Maribel; de García, Eva. ","Embryogenic cell suspension (ES) are an ideal system for clonal micropropagation and gene transfer, but the lack of protocols for efficient regeneration of plants from them is, in many cases, the..."
"fuente academica","55.
		","Generación de anticuerpos policlonales para la detección de la variante genotípica GIII de PVY, en cultivos de tomate de árbol y papa de Colombia. ","By: García, Yuliana Gallo; Montoya, Mauricio Marín; Sánchez, Pablo Gutiérrez. ","PVY is one of the potyvirus more frequently associated with viral infections in tomato and tamarillo crops in Colombia. Due to the economic impact of PVY and the need to certify seeds as virus-fr..."
"fuente academica","56.
		","Análisis de Valores y Actitudes en Temas Morales en Estudiantes de Educación Secundaria. ","By: Manuel Morales Rodríguez, Francisco; Victoria Trianes Torres, María. ","The objective of this study is to provide an assessment of values and attitudes towards moral issues in a sample of middle school students, by analyzing differences according to gender and age. T..."
"fuente academica","57.
		","Prevalencia de la sintomatología del Síndrome de Asperger y variables asociadas en preescolares españoles. ","By: Araújo Jiménez, Eva A.; Jané Ballabriga, María Claustre; Bonillo Martin, Albert; Canals, Josefa; Viñas, Ferrán; Doménech-Llaberia, Edelmira. ","Asperger's Syndrome (AS) forms part of the whole spectrum of autistic disorders. Until recently it has not been studied in early ages. The aim of this study is to determine the AS's prevalence of..."
"fuente academica","58.
		","SISTEMA PARA EL MONITOREO DE FUERZA Y TEMPERATURA EN TORNEADO. ","By: HECKER, ROGELIO L.; FLORES, GUSTAVO M.; VICENTE, DIEGO. ","Quality improvement and cost reduction drives the development of equipment to measure and control the main process variables in mechanical manufacturing. Particularly, in material removal process..."
"fuente academica","59.
		","Procedimientos para realizar meta-análisis de la precisión de instrumentos de clasificación binaria. ","By: Botella, Juan; Huiling Huang. ","The assessment of accuracy in binary classification tools must take into account two non-independent rates: true positives and false positives. A variety of indices have been proposed. They have ..."
"fuente academica","60.
		","Consideraciones clínicas, diagnósticas y de tratamiento en retinoblastoma. ","By: Villamil Duarte, John Fredy; Quintero Pérez, Lina María; Serrano Uribe, Ronald Andrés; Moreno Martínez, Ivonne Andrea. ","Retinoblastoma is the most common primary intraocular tumor in childhood. Its early detection and initiation of appropriate therapy, can dramatically improve the life expectancy in these children..."
"fuente academica","61.
		","EVIDENCIAS DE CALIDAD PSICOMÉTRICA DE LA VERSIÓN EN CASTELLANO DEL SCREEN FOR CHILD ANXIETY RELATED EMOTIONAL DISORDERS (SCARED) DE 41 ITEMS. ","By: Doval, Eduardo; Martínez, Marc; Doménech-Llaberia, Edelmira. ","The aim of the study was to assess the psychometric properties of the Spanish version of the SCARED (41 item version), a self-report scale devised to detect symptoms of anxiety disorders in child..."
"fuente academica","62.
		","Levansucrase activity but not fructan accumulation in transgenic lsdA-expressing sugarcane recovered by optimized microprojectile bombardment of embryogenic calli. ","By: Banguela, Alexander; Rodríguez, Raisa; Arrieta, Juan G.; Menéndez, Carmen; Kairúz, Elizabeth; Trujillo, Luis E.; Hernández, Lázaro. ","Sugarcane (Saccharum spp. hybrid) emerges as an ideal crop for the cost-effective transgenic production of fructans due to its high efficiency for fixing carbon and storing the substrate sucrose...."
"fuente academica","63.
		","Incidencia de trips en cultivos de hortalizas, granos y viandas. ","By: Elizondo-Silva, Ana Ibis; González-Arias, Gloria. ","La incidencia de trips constituye un alto riesgo para diversos cultivos, no solo por sus daños directos sino por su capacidad como transmisores de enfermedades virales. Los síntomas son muy compl..."
"fuente academica","64.
		","Cáncer de cuello uterino: análisis de la calidad de un programa. ","By: Noreña-Quiceno, Cielo; Tamayo-Acevedo, Lucía Stella. ","Objective: an evaluation of the quality of a cervical cancer early detection and control program being applied at a health care unit operated by Empresa Social del Estado Metrosalud, a public hos..."
"fuente academica","65.
		","Validez predictiva de la escala de síntomas prodrómicos (SOPS). ","By: Lemos, S.; Vallina, O.; Fernández, P.; Ortega, J. A.; García, P.; Gutiérrez, A.; García, A.; Bobes, J.; Miller, T. ","Introduction. We conduct an exploratory factor analysis with the Scale of Prodromal Symptoms (SOPS) items, to determine its psychometric characteristics and construct validity, as well as we anal..."
"fuente academica","66.
		","Prevalencia y características de la sintomatología depresiva en adolescentes no clínicos. ","By: Fonseca-Pedrero, Eduardo; Paino, Mercedes; Lemos-Giráldez, Serafín; Muñiz, José. ","Depressive symptoms are fairly common in children and adolescents, and vary as a function of gender and age. The objective of the present study was to examine the prevalence of depressive symptom..."
"fuente academica","67.
		","ADAPTACIÓN DE LA BATERÍA DE EVALUACIÓN DE LA MEMORIA SEMÁNTICA EN LA DEMENCIA DE TIPO ALZHEIMER (EMSDA) A LA POBLACIÓN DE LA CIUDAD DE BUENOS AIRES. ","Unknow","In this work some items of the Evaluation Battery for Semantic Memory Deterioration in Alzheimer's Disease, were adapted to be used in the population of Buenos Aires city - República Argentina (E..."
"fuente academica","68.
		","Síntomas psicóticos subclínicos en población general adolescente. ","By: GRASSO, LINA; PERAITA, HERMINIA. ","Objective. The main purpose of this study was to analyze the distribution of psychotic-like experiences in nonclinical adolescents. Likewise, we studied in depth the role of gender and age in phe..."
"fuente academica","69.
		","Metástasis de neuroblastoma de glándula suprarrenal en mandíbula. ","By: SáenzRobinson, Aarón; de la Torre y. Moran, Alberto; Franco Garrocho, Laura Elena; Enríquez-Domínguez, Lenin; de Dios Díaz-Rosales, Juan. ","The neuroblastomas are caused by an alteration of sympathetic nerve system formation. Thesetumors are more usual in childhood. Most of the neuroblastomasare found at the adrenal glands and their ..."
"fuente academica","70.
		","Epidemiology of prelingual sensorineural hearing impairment at a children's center in Bogotá, Colombia between 1997 and 2008. ","By: TALERO-GUTIÉRREZ, CLAUDIA; ROMERO, LILIANA; CARVAJALINO, IRMA; IBÁÑEZ, MILCIADES. ","Introduction: Hearing loss is a frequent problem in childhood with an incidence of about one case per 1000 births. Control of deafness should be aimed at prevention and early diagnosis in efforts..."
"fuente academica","71.
		","ESQUIZO-Q: Un Instrumento para la Valoración del ""Alto Riesgo Psicométrico"" a la Psicosis. ","By: Fonseca-Pedrero, Eduardo; Paino, Mercedes; Lemos-Giráldez, Serafín; Vallina-Fernández, Oscar; Muñiz, José. ","The aim of the ""psychometric high risk"" paradigm is the detection, by means of self-report measures and based on score profiles, of those individuals with a higher theoretical vulnerability of mo..."
"fuente academica","72.
		","La detección precoz del autismo. ","By: Bedia, Ricardo Canal; Primo, Patricia García; Aguilera, Eva Toutriño; Borbujo, José Santos; Cilleros, Ma Victoria Martín; Ferrari, M.a José; Velarte, María Martínez; Fernández, Zoila Guisuraga; Muñoz, Leticia Boada; Rey, Francisco; Martín, Manuel Franco; Biggi, Joaquín Fuentes; De la Paz, Manuel Posada. ","Autism is a serious disorder of child growth, stemming from the pre-natal stage and enduring the whole life. During the past decade a lot of studies have provided information about how to detect ..."
"fuente academica","73.
		","Artritis reumatoide temprana. ","By: Sylva-Tamayo, Dayana; Gómez-Barrera, Marcela; Toro-Correa, Carolina; Velásquez-Franco, Carlos Jaime. ","The classic diagnosis of rheumatoid arthritis by American College of Rheumatology criteria is insensitive for detecting early disease. If rheumatoid arthritis is diagnosed early, disease remissio..."
"fuente academica","74.
		","Tumores primarios múltiples en el Área Metropolitana de Bucaramanga. ","By: Pérez, Claudia Janeth Uribe; Sepúlveda, Fabián Leonardo Escudero; Camargo, Dinora Yoana León; López, Rafael Miguel Camacho. ","Introduction: The aim is to describe the epidemiological characteristics of the multiple primary tumors (MPT) in the Bucaramanga metropolitan area (BMA) population according to the information fr..."
"fuente academica","75.
		","FUNCIONAMIENTO NEUROCOGNITIVO DE PERSONAS QUE VIVEN CON VIH Y TOXOPLASMOSIS ENCEFÁLICA (PARTE II). ","By: Castellanos, Cesar E. ","Poverty, low nutrition conditions, lack of access to health services as well as the non effective immune response among people living with HIV/AIDS, increase the risk of those persons to be infec..."
"fuente academica","76.
		","AFECTACIÓN DEL SUBSISTEMA VOLITIVO DE ADOLESCENTES CONSUMIDORES DE SUSTANCIAS PSICOACTIVAS. ","By: Nelly, Beltran Cely; Mariño Bernal, Diana Lucero; Lievano, Bibiana. ","Taking into account consumption of adolescents, psychoactive substances is a socio-health problem, whose age home is becoming increasingly more early; it is important to descriptive studies ident..."
"fuente academica","77.
		","FUNCIONAMIENTO NEUROCOGNITIVO DE PERSONAS QUE VIVEN CON VIH Y TOXOPLASMOSIS ENCEFÁLICA (PARTE I). ","By: Castellanos, César E. ","Poverty, low nutrition conditions, lack of access to health services as well as the non effective immune response among people living with HIV/AIDS, increase the risk of those persons to be infec..."
"fuente academica","78.
		","A METHODOLOGY FOR THE DETECTION AND DIAGNOSTIC OF LOCALIZED FAULTS IN GEARS AND ROLLING BEARINGS SYSTEMS. ","By: Martín, César San; Estupiñán, Edgar; Martín, Daniel San. ","In this work, an effective methodology to detect early stage faults in rotating machinery is proposed. The methodology is based on the analysis of cyclostationarity, which is inherent to the vibr..."
"fuente academica","79.
		","Confiabilidad de un cuestionario para rastreo de trastorno de aprendizaje (CEPA) en niños en edad escolar. ","By: Betancur, Luz Ángela Gómez; Romero, Maria Gladys; Merchán, Vilma; Acevedo, Daniel Camilo Aguirre. ","The assessment questionnaires are basic tools used in research or in programs geared to the early, simple, and fast detection of a sickness in the general population, with a high level of accepte..."
"fuente academica","80.
		","Integración de Herramientas para la Operación de Sistemas de Recursos Hidráulicos. ","By: Gómez Crespo, Modesto R.; León Méndez, Alcides J.; Martínez Rodríguez, José B. ","The joint application of tools for water resources operation has been addressed so far in a partial way. In this work, a solution for this problem is given in terms of an Integrated Modular Platf..."
"fuente academica","81.
		","Método de diagnóstico para el monitoreo de resistencia a insecticidas en poblaciones de ""picudo del algodonero"", Anthonomus grandis (Coleoptera: Curculionidae). ","By: STADLER, Teodoro. ","The in-season control of the cotton boll weevil Anthonomus grandis Boheman is done by insecticide application, which so far is the only effective way to reduce boll weevil populations to levels b..."
"fuente academica","82.
		","Identificación y selección de híbridos somáticos obtenidos mediante fusión de protoplastos. ","By: Montero-Carmona, Wayner; Jiménez, Víctor M. ","Efficient selection of hybrid plants produced by protoplast fusion is very important. Several advances have been made on the subject in recent decades. The methods used for the identification of ..."
"fuente academica","83.
		","Valoración de la circunferencia de la pantorrilla como indicador de riesgo de desnutrición en personas mayores. ","By: Cuervo, M.; Ansorena, D.; García, A.; Martínez, M. A. González; Astiasarán, I.; Martínez, J. A. ","Background: Undernutrition is a very common situation among elderly, that is associated with increased morbidity and mortality rates. On the other hand, calf circumference (CC) is a direct anthro..."
"fuente academica","84.
		","Plataforma Modular Integrada para sistemas de riego 2. Descripción de la propuesta. ","By: Gómez Crespo, Modesto R.; León Méndez, Alcides J.; Martínez Rodríguez, José B. ","Until present, the combined application of the mathematical modelling, geographic information systems and real-time control systems for water resources management has been approached in a partial..."
"fuente academica","85.
		","Comments on the Use of Agomelatine in the Treatment of Depressive Disorder According to Clinical Guidelines in Colombia. ","By: Kennedy, Sidney H. ","A letter to the editor is presented in response to the article ""Guía de atención Integral para la detección temprana y diagnóstico del episodio depresivo y trastorno depresivo recurrente en adult..."
"fuente academica","86.
		","Enfermedad trofoblástica gestacional. ","By: Correa, Simón Oróstegui; Rueda, Yuli Andrea Arenas; Navas, Lina Maria Galindo. ","Gestational trophoblastic disease (GTD) includes a group of benign trophoblastic disorders which compromise the abnormal placental formation like: complete and partial hydatidiform mole and gesta..."
"fuente academica","87.
		","MEASUREMENT OF PSYCHOSOCIAL HEALTH IN MEDICAL STUDENTS: VALIDATION OF THE JEFFERSON MEDICAL COLLEGE'S QUESTIONNAIRE IN MEXICO. ","By: Alcorta, Adelina; Ancer, Jesús; Saldívar, Donato; Guzmán, Santos; Bermúdez, María V.; Montes, Juan; González, Juan F.; Tavitas, Silvia; Rodríguez, Francisco J.; Gómez, Marco V.; Salinas, Ana M.; Hojat, Mohammadreza; Zambrano, Stefan M. Fernández. ","The greater the psychosocial health, the greater is the well-being and the capacity for adaptation and overcoming problems and common life frustrations in family, relationships, and work. Medical..."
"fuente academica","88.
		","La evaluación ómica y el diagnóstico de la tuberculosis extrapulmonar. ","By: Velásquez, Johanna Vásquez; del Corral Londoño, Helena. ","Given that public health resources are limited and alternatives rival, a comparison in terms of costs and consequences, of conventional versus newer and faster diagnostic strategies for extrapulm..."
"fuente academica","89.
		","La vacuna contra el virus del papiloma humano: una gran arma para la prevención primaria del cáncer de cuello uterino. ","By: Muñoz, Nubia; Reina, Julio César; Sánchez, Gloria Inés. ","Prophylactic human papillomavirus (HPV) vaccine is the most promissory public health tool for primary prevention of cervical cancer. Immunization of females before the acquisition of HPV infectio..."
"fuente academica","90.
		","Pharmacological Treatment of Benign Prostatic Hyperplasia Part II: a place for herbal drugs, with focus on Saw palmetto. ","By: Más, Rosa; Arruzazabala, María de Lourdes; Molina, Vivian; Carbajal, Daisy. ","Benign prostatic hyperplasia (BPH) is a common disease of the aging man that consists of the uncontrolled and benign growth of prostate gland that leads to lower urinary tract symptoms (LUTS). Th..."
"fuente academica","91.
		","Traducción al español y confiabilidad del Cuestionario de Tamizaje para Síntomas Prodrómicos (PRIME Screen). ","By: Fresán, A.; Apiquian, R.; Ulloa, R. E.; Nicolini, H. ","Introduction. A fundamental precondition for early intervention in schizophrenia is accurate detection of prodromal states, that is, sign and symptom constellations that predict the onset of psyc..."
